,pot
0,69
1,71
2,71
3,82
4,81
5,70
6,77
7,78
8,82
9,80
10,74
11,78
12,80
13,79
14,90
15,82
16,90
17,72
18,73
19,87
20,69
21,79
22,75
23,70
24,73
25,89
26,82
27,89
28,84
29,73
30,75
31,68
32,80
33,82
34,87
35,87
36,79
37,81
38,83
39,83
40,69
41,72
42,82
43,75
44,66
45,76
46,73
47,58
48,63
49,76
50,72
51,68
52,71
53,66
54,79
55,80
56,75
57,88
58,74
59,63
60,78
61,80
62,88
63,71
64,63
65,74
66,71
67,77
68,78
69,79
70,86
71,64
72,86
73,81
74,90
75,71
76,77
77,72
78,74
79,85
80,88
81,70
82,78
83,83
84,76
85,75
86,76
87,76
88,73
89,77
90,78
91,65
92,74
93,79
94,72
95,64
96,81
97,65
98,67
99,80
100,76
101,81
102,73
103,77
104,86
105,82
106,63
107,72
108,66
109,79
110,64
111,63
112,68
113,76
114,78
115,72
116,74
117,83
118,85
119,66
120,76
121,61
122,81
123,75
124,69
125,80
126,68
127,75
128,71
129,78
130,72
131,73
132,72
133,58
134,74
135,67
136,74
137,73
138,80
139,74
140,79
141,76
142,92
143,77
144,79
145,75
146,56
147,76
148,79
149,64
150,84
151,74
152,67
153,82
154,73
155,74
156,74
157,74
158,73
159,69
160,73
161,77
162,78
163,79
164,74
165,54
166,68
167,65
168,80
169,68
170,81
171,77
172,70
173,63
174,72
175,74
176,68
177,91
178,68
179,78
180,68
181,69
182,73
183,64
184,83
185,77
186,68
187,67
188,82
189,66
190,78
191,80
192,82
193,74
194,66
195,67
196,75
197,69
198,64
199,81
200,74
201,75
202,68
203,72
204,71
205,75
206,72
207,68
208,60
209,75
210,73
211,80
212,71
213,81
214,74
215,74
216,73
217,70
218,78
219,70
220,78
221,77
222,80
223,73
224,70
225,65
226,67
227,75
228,69
229,73
230,70
231,63
232,82
233,69
234,67
235,73
236,72
237,70
238,70
239,87
240,65
241,65
242,75
243,75
244,68
245,71
246,67
247,66
248,66
249,82
250,69
251,71
252,74
253,69
254,68
255,74
256,74
257,74
258,71
259,81
260,82
261,60
262,79
263,63
264,59
265,74
266,67
267,65
268,80
269,74
270,65
271,60
272,67
273,70
274,76
275,64
276,72
277,48
278,68
279,70
280,71
281,64
282,77
283,69
284,70
285,68
286,73
287,63
288,69
289,70
290,70
291,57
292,75
293,74
294,69
295,77
296,68
297,66
298,59
299,67
300,66
301,73
302,68
303,73
304,81
305,82
306,65
307,72
308,74
309,76
310,69
311,72
312,70
313,73
314,72
315,71
316,74
317,66
318,73
319,78
320,68
321,69
322,82
323,71
324,77
325,71
326,69
327,69
328,60
329,65
330,73
331,73
332,71
333,78
334,81
335,75
336,77
337,73
338,79
339,67
340,70
341,76
342,66
343,75
344,74
345,66
346,71
347,59
348,68
349,70
350,66
351,79
352,66
353,65
354,75
355,62
356,77
357,69
358,69
359,81
360,71
361,70
362,68
363,75
364,78
365,70
366,88
367,75
368,63
369,82
370,63
371,71
372,77
373,69
374,72
375,78
376,74
377,69
378,75
379,68
380,65
381,74
382,75
383,70
384,72
385,76
386,75
387,75
388,75
389,71
390,71
391,76
392,67
393,71
394,80
395,77
396,80
397,70
398,78
399,70
400,77
401,84
402,86
403,70
404,73
405,77
406,71
407,69
408,74
409,78
410,73
411,79
412,74
413,79
414,77
415,77
416,69
417,68
418,67
419,61
420,83
421,75
422,77
423,69
424,71
425,68
426,75
427,72
428,69
429,69
430,74
431,65
432,73
433,74
434,76
435,80
436,66
437,69
438,72
439,77
440,75
441,70
442,80
443,71
444,80
445,76
446,72
447,72
448,66
449,79
450,65
451,70
452,69
453,72
454,68
455,65
456,69
457,72
458,87
459,72
460,68
461,71
462,75
463,68
464,75
465,73
466,80
467,68
468,67
469,70
470,66
471,73
472,58
473,63
474,66
475,69
476,64
477,71
478,82
479,67
480,72
481,78
482,75
483,66
484,83
485,78
486,67
487,71
488,73
489,62
490,65
491,68
492,61
493,67
494,79
495,65
496,73
497,74
498,78
499,74
500,61
501,63
502,67
503,72
504,81
505,63
506,74
507,67
508,69
509,68
510,76
511,71
512,75
513,70
514,64
515,72
516,65
517,70
518,60
519,74
520,66
521,71
522,70
523,78
524,78
525,71
526,75
527,77
528,79
529,72
530,74
531,69
532,76
533,71
534,70
535,75
536,73
537,78
538,86
539,71
540,78
541,73
542,71
543,70
544,76
545,74
546,85
547,76
548,72
549,74
550,70
551,66
552,67
553,67
554,75
555,72
556,75
557,76
558,70
559,64
560,71
561,68
562,73
563,78
564,76
565,67
566,69
567,80
568,82
569,84
570,82
571,72
572,84
573,74
574,76
575,75
576,76
577,76
578,80
579,76
580,77
581,81
582,76
583,63
584,74
585,76
586,69
587,76
588,75
589,69
590,80
591,71
592,70
593,76
594,73
595,75
596,68
597,63
598,77
599,74
600,69
601,74
602,75
603,66
604,72
605,69
606,69
607,56
608,67
609,63
610,66
611,66
612,67
613,66
614,68
615,72
616,74
617,72
618,75
619,78
620,74
621,73
622,67
623,62
624,73
625,68
626,63
627,75
628,62
629,66
630,71
631,66
632,77
633,65
634,66
635,64
636,72
637,69
638,76
639,71
640,65
641,64
642,71
643,86
644,73
